Instrument,Date,Revenue - Mean,Dividend Per Share - Mean,Cash & Short Term Investments,PPE - Net Percentage of Total Assets,"PPE - Net - Total, YoY Avg",Cost Of Goods Sold - Mean,Depreciation Depletion & Amortization - Total,CAPEX Percentage of Total Assets,Selling General & Administrative Expenses - Total
DK0060534915,2000-12-31T00:00:00Z,24188610000,0.28026,1278000000,60.40752,,,2076000000,8.054114097,11522000000
DK0060534915,2001-12-31T00:00:00Z,26180903600,0.35558,1660000000,64.50795,,,2162000000,12.11153561,13050000000
DK0060534915,2002-12-31T00:00:00Z,27395499200,0.38791,,,,,2586000000,9.930281456,13099000000
DK0060534915,2003-12-31T00:00:00Z,28325679150,0.41979,1262000000,51.20958,,,3238000000,6.434578777,13839000000
DK0060534915,2004-12-31T00:00:00Z,31703607080,0.48761,3433000000,46.90781,16950500000,,1892000000,9.953132886,14576000000
DK0060534915,2005-12-31T00:00:00Z,37188175970,0.61313,3303000000,49.50906,18750000000,,3860000000,10.48707065,16898000000
DK0060534915,2006-12-31T00:00:00Z,42771357180,0.74991,3270000000,44.16356,20145500000,,4284000000,7.648232052,20311000000
DK0060534915,2007-12-31T00:00:00Z,46074970230,0.94138,4823000000,41.07394,19977500000,,6014000000,5.244838396,22092000000
DK0060534915,2008-12-31T00:00:00Z,51996180090,1.15327,8781000000,36.83378,19122000000,,4884000000,4.140988875,23032000000
DK0060534915,2009-12-31T00:00:00Z,54777566790,1.59132,11296000000,35.12111,18932500000,,5102000000,5.818975746,26702000000
DK0060534915,2010-12-31T00:00:00Z,66551202420,2.30743,12017000000,33.39793,19866500000,,4934000000,6.710635074,31661000000
DK0060534915,2011-12-31T00:00:00Z,73021088490,2.80361,17502000000,32.35185,20719000000,,2784000000,5.284694687,32786000000
DK0060534915,2012-12-31T00:00:00Z,85681202830,4.10167,16105000000,0.7218,21235000000,,2573000000,5.556620924,37434000000
DK0060534915,2013-12-31T00:00:00Z,90219084770,4.81031,14469000000,31.11023,21710500000,14643375000,2655000000,5.358587121,40162000000
DK0060534915,2014-12-31T00:00:00Z,1.01424E+11,5.59886,15905000000,30.02258,22509000000,15820166670,2796000000,5.881993772,41614000000
DK0060534915,2015-12-31T00:00:00Z,1.16834E+11,7.25228,20465000000,27.8271,24340500000,17338145460,2619000000,7.587305535,46077000000
DK0060534915,2016-12-31T00:00:00Z,1.17028E+11,7.69055,20699000000,30.94044,27862000000,18347272730,2651000000,8.73253124,46773000000
DK0060534915,2017-12-31T00:00:00Z,1.1353E+11,8.27397,18852000000,34.43603,32713000000,18670909090,2870000000,8.652585871,46237000000
DK0060534915,2018-12-31T00:00:00Z,1.17437E+11,8.40315,15638000000,37.81834,38569000000,19324714290,3809000000,11.64580244,48501000000
DK0060534915,2019-12-31T00:00:00Z,1.28694E+11,9.16433,14966000000,40.24377,46221000000,21661375000,5440000000,9.502455781,49607000000
DK0060534915,2020-12-31T00:00:00Z,1.32574E+11,9.56596,12104000000,34.68694,50410000000,22090600000,5276000000,16.32401103,51979000000
DK0060534915,2021-12-31T00:00:00Z,1.55308E+11,10.85435,16362000000,28.46258,52815500000,25643600000,5311000000,4.351412662,58312000000
DK0060534915,2022-12-31T00:00:00Z,2.01518E+11,14.63841,23116000000,27.63485,61016500000,31705714290,6553000000,6.771080743,74055000000
DK0060534915,,2.36619E+11,17.8775,,,,36734571430,,,
DK0015250344,2000-12-31T00:00:00Z,,0.36134,506000000,5.17991,,,,0.044829647,340000000
DK0015250344,2001-12-31T00:00:00Z,,0.63234,420000000,7.35023,,,,0.15190258,663000000
DK0015250344,2002-12-31T00:00:00Z,,0,476000000,6.74133,,,,1.638497306,923000000
DK0015250344,2003-12-31T00:00:00Z,,0,423000000,6.76883,1514000000,,,0.031231178,894000000
DK0015250344,2004-12-31T00:00:00Z,4595000000,0,221000000,1.68496,1052000000,,,0.030864727,138000000
DK0015250344,2005-12-31T00:00:00Z,4895000000,0.54201,331000000,1.48531,621500000,,,0.083743592,56000000
DK0015250344,2006-12-31T00:00:00Z,4265000000,1.08401,365000000,1.47004,632000000,,,0.044422623,24000000
DK0015250344,2007-12-31T00:00:00Z,,0,790000000,1.39916,651000000,,,0.129844407,18000000
DK0015250344,2008-12-31T00:00:00Z,5974000000,0,146000000,2.26315,853000000,,572000000,0.049112243,387000000
DK0015250344,2009-12-31T00:00:00Z,6956500000,0,49000000,2.17904,1035500000,,707000000,,1478000000
DK0015250344,2010-12-31T00:00:00Z,5198500000,0,379000000,2.13919,1032500000,,559000000,0.010455111,1509000000
DK0015250344,2011-12-31T00:00:00Z,4893000000,0,139000000,2.41578,1057500000,,559000000,,1539000000
DK0015250344,2012-12-31T00:00:00Z,4847000000,0,306000000,2.48831,1072000000,,46000000,0.260654838,349000000
DK0015250344,2013-12-31T00:00:00Z,4944333330,0,363000000,3.44618,1058500000,,55000000,0.41393248,972000000
DK0015250344,2014-12-31T00:00:00Z,5188500000,0,249000000,4.01505,1055500000,,94000000,0.884843245,941000000
DK0015250344,2015-12-31T00:00:00Z,5080500000,0.3308,306000000,3.80833,864000000,,124000000,0.409930015,1048000000
DK0015250344,2016-12-31T00:00:00Z,5288500000,0.77187,218000000,4.36042,686500000,,158000000,0.45753503,912000000
DK0015250344,2017-12-31T00:00:00Z,5044000000,0.9679,180000000,4.6921,680500000,,199000000,0.408556673,930000000
DK0015250344,2018-12-31T00:00:00Z,5282500000,0.95564,232000000,4.07431,688000000,,238000000,0.366454485,1233000000
DK0015250344,2019-12-31T00:00:00Z,5419000000,0.67385,244000000,4.26097,732500000,,262000000,0.08660901,373000000
DK0015250344,2020-12-31T00:00:00Z,5487000000,0.73511,524000000,2.69372,747500000,,283000000,0.002681756,208000000
DK0015250344,2021-12-31T00:00:00Z,5634000000,0.98015,110000000,0.31254,371500000,,46000000,0.101313071,222000000
DK0015250344,2022-12-31T00:00:00Z,8390000000,0.44,458000000,2.47905,523000000,,473000000,0,417000000
DK0015250344,,10594650000,0.7,,,,,,,
DK0015250344,,12434350000,0.87,,,,,,,
DK0010274414,2000-12-31T00:00:00Z,15555400000,2.90056,,0.49755,,,545000000,0.028583873,10136000000
DK0010274414,2001-12-31T00:00:00Z,26036042250,4.81347,,0.41753,,,891000000,0.037569793,16394000000
DK0010274414,2002-12-31T00:00:00Z,26421971360,4.8029,,0.35597,,,591000000,0.008388714,15600000000
DK0010274414,2003-12-31T00:00:00Z,27732041880,4.93475,,0.31772,,,489000000,0.004248555,14940000000
DK0010274414,2004-12-31T00:00:00Z,29176332860,6.7181,,,6176000000,,1400000000,0.101839794,16355000000
DK0010274414,2005-12-31T00:00:00Z,34792227290,7.83933,,0.29803,6858000000,,2102000000,0.142580157,19132000000
DK0010274414,2006-12-31T00:00:00Z,43358554860,7.71684,,0.28671,7551000000,,2344000000,0.104614869,20439000000
DK0010274414,2007-12-31T00:00:00Z,45197591570,8.47628,,0.27801,8583000000,,3515000000,0.140288273,26078000000
DK0010274414,2008-12-31T00:00:00Z,44942184250,0.71506,,0.25567,9186500000,,6005000000,0.122666209,26009000000
DK0010274414,2009-12-31T00:00:00Z,49194133170,0.46628,,0.28401,8930500000,,4244000000,0.079398403,27716000000
DK0010274414,2010-12-31T00:00:00Z,46437191310,3.16256,,0.24459,8330500000,,2701000000,0.025790659,26688000000
DK0010274414,2011-12-31T00:00:00Z,45741341910,2.33231,,0.21221,7564000000,,3451000000,0.023108364,26554000000
DK0010274414,2012-12-31T00:00:00Z,47000395290,2.43582,97267000000,0.18778,6905500000,,2908000000,0.015428364,27462000000
DK0010274414,2013-12-31T00:00:00Z,44058711410,3.48212,43721000000,0.18921,6325000000,,2573000000,0.018384966,26715000000
DK0010274414,2014-12-31T00:00:00Z,44963860460,7.16015,,0.19186,6365500000,,,0.021975811,
DK0010274414,2015-12-31T00:00:00Z,44486629930,8.6919,,0.15433,5853500000,,2782000000,0.029766259,24897000000
DK0010274414,2016-12-31T00:00:00Z,46299135270,9.4844,,0.16793,5466000000,,2969000000,0.030812148,24647000000
DK0010274414,2017-12-31T00:00:00Z,49130731050,10.52252,,0.19909,6448500000,,3681000000,0.046844756,25876000000
DK0010274414,2018-12-31T00:00:00Z,46324149400,9.7599,,0.21708,7407500000,,,0.046895228,
DK0010274414,2019-12-31T00:00:00Z,42629763180,5.39733,,0.37447,10926000000,,6036000000,0.042073613,30605000000
DK0010274414,2020-12-31T00:00:00Z,42374970260,5.84187,,0.32527,13725000000,,6435000000,0.032527428,32443000000
DK0010274414,2021-12-31T00:00:00Z,42555111890,7.19565,,0.31772,12935500000,23064000000,5969000000,0.039054998,30786000000
DK0010274414,2022-12-31T00:00:00Z,48103006060,9.96722,,0.27117,11354500000,,5600000000,0.036005457,31184000000
DK0010274414,,50447876560,11.25156,,,,,,,
DK0010307958,2000-12-31T00:00:00Z,2738500000,2.09677,787869000,1.08044,,,118581000,,2145430000
DK0010307958,2001-12-31T00:00:00Z,2897000000,0,646494000,1.11335,,,148679000,0.183830254,2450665000
DK0010307958,2002-12-31T00:00:00Z,,0,707545000,0.99341,,,150363000,0.148678614,2609344000
DK0010307958,2003-12-31T00:00:00Z,4550000000,1.75099,833523000,1.41473,,,138850000,0.212916512,2691267000
DK0010307958,2004-12-31T00:00:00Z,,0,817789000,1.32295,,,181421000,0.069189953,3018096000
DK0010307958,2005-12-31T00:00:00Z,2880000000,0,914341000,1.20192,,,236392000,0.203344797,3327421000
DK0010307958,2006-12-31T00:00:00Z,,0,974510000,1.26671,1624970500,,175232000,0.346729984,3794902000
DK0010307958,2007-12-31T00:00:00Z,6072333330,0,1453707000,1.12107,1837734500,,251589000,0.276782311,3328119000
DK0010307958,2008-12-31T00:00:00Z,6232700000,0,930308000,1.09662,2285078000,,308897000,0.201878677,3665880000
DK0010307958,2009-12-31T00:00:00Z,6624750000,0,1017000000,1.11042,2545156000,,199196000,0.082030497,3246424000
DK0010307958,2010-12-31T00:00:00Z,6846166670,0,1537540000,1.06059,2541028000,,186295000,0.101573922,3792183000
DK0010307958,2011-12-31T00:00:00Z,6870750000,0,2320000000,1.13463,2827528000,,226000000,0.162151373,4220000000
DK0010307958,2012-12-31T00:00:00Z,7164333330,0,7097000000,1.23564,3145000000,,294000000,0.142298384,4648000000
DK0010307958,2013-12-31T00:00:00Z,7662833330,0,2427000000,1.22288,3214000000,4336000000,390000000,0.13070614,4452000000
DK0010307958,2014-12-31T00:00:00Z,9103800000,0,1850000000,0.69931,3496000000,5050000000,369000000,0.119201227,5047000000
DK0010307958,2015-12-31T00:00:00Z,8847800000,9.208,2825000000,0.80236,4074000000,5107500000,426000000,0.164596462,5237000000
DK0010307958,2016-12-31T00:00:00Z,8475400000,9.37333,2068000000,0.88392,4773000000,5042000000,520000000,0.233430257,5317000000
DK0010307958,2017-12-31T00:00:00Z,8444166670,8.28333,19347000000,0.85599,5150000000,,638000000,0.239498101,5621000000
DK0010307958,2018-12-31T00:00:00Z,8229200000,9.51,6081000000,0.70306,4666000000,,577000000,0.164023829,5290000000
DK0010307958,2019-12-31T00:00:00Z,7927000000,4.392,9889000000,0.6972,4374000000,,571000000,0.255264327,5370000000
DK0010307958,2020-12-31T00:00:00Z,7575250000,0,34951000000,0.66825,4512500000,,587000000,0.174381761,5178000000
DK0010307958,2021-12-31T00:00:00Z,8121782600,0,30685000000,0.66494,4399000000,,608000000,0.155936262,5256000000
DK0010307958,2022-12-31T00:00:00Z,11612060000,0.25,58519000000,0.55907,4248000000,,631000000,0.23849078,5203000000
DK0010307958,,12503033330,0,,,,,,,
DK0010160167,,,,,,,,,,
DK0015203269,,,,,,,,,,
DK0010288638,,3913000000,6,949000000,6.77253,,,53000000,0.043162279,1713000000
DK0010288638,,,4.66667,1671000000,7.02343,,,43000000,0.470997096,1702000000
DK0010288638,,11731000000,3,2519000000,6.36291,5958000000,,104000000,0.377218686,2036000000
DK0010288638,,18210000000,6.4,1960000000,7.35683,6393500000,,412000000,1.299993011,2172000000
DK0010288638,,13985000000,11.66667,875000000,4.80718,4559500000,,118000000,0.400293741,1093000000
DK0010288638,,14778000000,8.112,2037000000,,2125500000,,136000000,0.467985535,1291000000
DK0010288638,,15548000000,8.2825,1695000000,4.69716,2274000000,,129000000,0.339361834,1209000000
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,96300000,,2274000000,,,,
DK0010288638,,,,56000000,,2274000000,,,,
DK0010288638,,,,15900000,,2274000000,,,,
DK0010288638,,,,35200000,,2274000000,,,,
DK0010288638,,,,52800000,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0010288638,,,,,,2274000000,,,,
DK0060477503,2000-12-31T00:00:00Z,6510500000,0.22875,307000000,8.76369,,,,5.056328344,919000000
DK0060477503,2001-12-31T00:00:00Z,6554500000,0,367000000,9.03075,2468500000,,,1.130757319,790000000
DK0060477503,2002-12-31T00:00:00Z,6327000000,0,383000000,10.23753,2564000000,,,1.327766494,896000000
DK0060477503,2003-12-31T00:00:00Z,9525000000,0,256000000,9.40579,2772500000,,,2.379647473,1142000000
DK0060477503,2004-12-31T00:00:00Z,10125000000,,185000000,2.38715,1801500000,,57000000,0.405647866,776000000
DK0060477503,2005-12-31T00:00:00Z,8175000000,0,185000000,2.05119,834000000,,,0.198260594,934000000
DK0060477503,2006-12-31T00:00:00Z,11972752000,0,217000000,1.86526,828500000,,56000000,0.240742052,809000000
DK0060477503,2007-12-31T00:00:00Z,11026822000,0,180000000,1.71576,790000000,,84000000,0.280908422,674000000
DK0060477503,2008-12-31T00:00:00Z,11724976800,0,174000000,1.78149,846500000,,104000000,0.347538271,286000000
DK0060477503,2009-12-31T00:00:00Z,10093113880,0,259000000,1.62146,922000000,,116000000,0.399672158,1109000000
DK0060477503,2010-12-31T00:00:00Z,8670200000,0,194000000,1.57276,911000000,,147000000,0.280465573,1075000000
DK0060477503,2011-12-31T00:00:00Z,9147375000,0,241000000,1.54721,924500000,,159000000,0.123149593,882000000
DK0060477503,2012-12-31T00:00:00Z,8912514290,0,368000000,1.69429,975500000,,145000000,0.174349097,1194000000
DK0060477503,2013-12-31T00:00:00Z,8987666670,0,420000000,1.61232,996000000,,143000000,0.157641026,1037000000
DK0060477503,2014-12-31T00:00:00Z,9260000000,0,323000000,1.50714,978500000,,122000000,0.171995063,1285000000
DK0060477503,2015-12-31T00:00:00Z,8854000000,0,640000000,1.45446,978000000,,100000000,0.302693213,996000000
DK0060477503,2016-12-31T00:00:00Z,8944933500,8.31179,831000000,1.34466,986000000,,82000000,0.287678027,1372000000
DK0060477503,2017-12-31T00:00:00Z,9033981670,13.67175,537000000,1.19198,976500000,,78000000,0.21756867,1425000000
DK0060477503,2018-12-31T00:00:00Z,9383000000,15.93607,253000000,1.16433,967000000,1462000000,72000000,0.296012961,902000000
DK0060477503,2019-12-31T00:00:00Z,9557750000,16.911,550000000,0.963,958500000,1521000000,114000000,0.320368148,2075000000
DK0060477503,2020-12-31T00:00:00Z,9933500000,15.1051,846000000,0.8656,947000000,,144000000,0.197371588,1632000000
DK0060477503,2021-12-31T00:00:00Z,10622333330,18.03767,1136000000,0.74937,924000000,,149000000,0.242972097,541000000
DK0060477503,2022-12-31T00:00:00Z,10417000000,16.862,61000000,3.61362,867000000,,112000000,0.47004017,559000000
DK0060477503,,11012500000,17.42363,,,,,,,
DK0010126309,,9380000000,19.35714,,,,,,,
DK0010126309,,,,,,,,,,
DK0010126309,,,,,,,,,,
DK0010126309,,,,,,,,,,
DK0010126309,,,,,,,,,,
DK0010126309,,,,,,,,,,
DK0010237056,,,0,,,,,,,
DK0010237056,,,,,,,,,,
DK0010237056,,,,,,,,,,
DK0010237056,,,,,,,,,,
DK0010237056,,,,,,,,,,
DK0010237056,,,,,,,,,,
DK0010237056,,,,,,,,,,
DK0010237056,,,,,,,,,,
DK0010237056,,,,,,,,,,
DK0010237056,,,,,,,,,,
DK0010237056,,,,,,,,,,
DK0060228559,2000-12-31T00:00:00Z,51445554210,2.2747,4644000000,37.31043,26969000000,,6889000000,15.33228943,7827000000
DK0060228559,2001-12-31T00:00:00Z,55065621940,2.20729,1567000000,36.2494,30728500000,,9654000000,11.90025158,9196000000
DK0060228559,2002-12-31T00:00:00Z,54044223530,2.38089,2679000000,36.39745,33205000000,,10188000000,8.641765983,9945000000
DK0060228559,2003-12-31T00:00:00Z,50441663560,2.4808,5430000000,28.21873,29117500000,,9237000000,5.558763436,8204000000
DK0060228559,2004-12-31T00:00:00Z,44604707710,2.60767,6838000000,30.86502,25756000000,,7819000000,6.024062877,6833000000
DK0060228559,2005-12-31T00:00:00Z,47766697330,2.7,10063000000,25.26517,26153000000,,6790000000,6.0471848,7628000000
DK0060228559,2006-12-31T00:00:00Z,,,3455000000,30.89799,25505000000,,7875000000,6.20449473,7209000000
DK0060228559,2007-12-31T00:00:00Z,,,8251000000,31.06015,24830000000,,7446000000,5.571878606,6808000000
DK0060228559,2008-12-31T00:00:00Z,,,6718000000,34.86026,23550000000,,8917000000,4.300967467,7122000000
DK0060228559,2009-12-31T00:00:00Z,,,763000000,37.69946,21197000000,,6940000000,4.218250477,6768000000
DK0060228559,2010-12-31T00:00:00Z,26091856000,4.29794,831000000,41.35616,17764500000,,7923000000,4.891243246,6930000000
DK0060228559,2011-12-31T00:00:00Z,26128718900,4.47224,1489000000,23.54485,15437000000,,5174000000,5.398958069,4202000000
DK0060228559,2012-12-31T00:00:00Z,25755740000,3.7248,973000000,24.14667,15340000000,,5062000000,5.616990853,4423000000
DK0060228559,2013-12-31T00:00:00Z,24347576050,3.69273,1172000000,25.49743,15370000000,6850000000,4932000000,6.19886061,4127000000
DK0060228559,2014-12-31T00:00:00Z,24295380220,2.56046,4746000000,23.53922,16453500000,8021500000,4728000000,5.846955205,3993000000
DK0060228559,2015-12-31T00:00:00Z,23679468330,1.35429,363000000,27.80822,17733500000,6573600000,5022000000,6.17457199,3642000000
DK0060228559,2016-12-31T00:00:00Z,20918082000,1.10761,1687000000,28.04359,18002000000,5300500000,4882000000,6.948064036,3805000000
DK0060228559,2017-12-31T00:00:00Z,20077017320,1.1874,1767000000,28.25467,17940500000,3292350000,4185000000,6.004455881,3181000000
DK0060228559,2018-12-31T00:00:00Z,,,2244000000,28.67442,16218500000,,4020000000,6.499131929,3336000000
DK0060228559,2019-12-31T00:00:00Z,,,1577000000,33.78915,16910500000,,5107000000,9.317254174,3384000000
DK0060228559,2020-12-31T00:00:00Z,,,434000000,34.73675,19310500000,,4931000000,8.405627406,3172000000
DK0060228559,2021-12-31T00:00:00Z,,,811000000,34.06795,19731000000,,4168000000,8.255401483,2959000000
DK0060228559,2022-12-31T00:00:00Z,,,4076000000,32.21296,20388000000,,4084000000,7.549252786,2833000000
DK0010181759,2004-12-31T00:00:00Z,34950500000,3.7306,1829000000,35.41717,,,3208000000,,15640000000
DK0010181759,2005-12-31T00:00:00Z,41290021670,3.68733,2349000000,32.64164,,,2796000000,10.32176383,13332000000
DK0010181759,2006-12-31T00:00:00Z,37872553570,4.19828,2498000000,34.84457,,,3712000000,11.16960517,18343000000
DK0010181759,2007-12-31T00:00:00Z,37345093060,4.09367,2283000000,36.11402,,,6154000000,9.352307577,18890000000
DK0010181759,2008-12-31T00:00:00Z,38195922570,4.08596,2864000000,23.87285,,,5198000000,6.287679229,23034000000
DK0010181759,2009-12-31T00:00:00Z,38961897250,4.3576,2751000000,23.65907,,,6397000000,2.27870931,21132000000
DK0010181759,2010-12-31T00:00:00Z,42124180470,4.63142,2769000000,22.47767,,,4013000000,2.422985718,17158000000
DK0010181759,2011-12-31T00:00:00Z,50933517120,6.00802,3169000000,21.56058,,,3784000000,2.990279024,22386000000
DK0010181759,2012-12-31T00:00:00Z,62156107700,4.90888,5760000000,20.77864,,,3991000000,3.35924422,23191000000
DK0010181759,2013-12-31T00:00:00Z,59936097360,4.26828,3612000000,20.83804,,,3863000000,3.645161606,22695000000
DK0010181759,2014-12-31T00:00:00Z,63857271240,6.28368,2418000000,21.22321,,,4103000000,4.063968858,23413000000
DK0010181759,2015-12-31T00:00:00Z,65133460030,6.46,3131000000,21.35932,,,4674000000,3.101856616,24082000000
DK0010181759,2016-12-31T00:00:00Z,69359200390,7.0685,3502000000,20.33789,,,4742000000,3.034069744,23800000000
DK0010181759,2017-12-31T00:00:00Z,68377959410,8.98454,3462000000,21.29084,25067500000,34978000000,4581000000,3.361295753,21827000000
DK0010181759,2018-12-31T00:00:00Z,64085005560,9.10715,5589000000,21.57519,24859500000,32489250000,4064000000,3.463662584,22216000000
DK0010181759,2019-12-31T00:00:00Z,64382746690,9.68413,5222000000,22.43323,26500500000,36138333330,4512000000,3.81121684,22692000000
DK0010181759,2020-12-31T00:00:00Z,65182969170,12.86633,8093000000,22.13422,26953000000,32326625000,4336000000,3.634875289,18949000000
DK0010181759,2021-12-31T00:00:00Z,63132988620,15.85671,8344000000,21.08511,26473500000,31731600000,4238000000,3.183536638,18946000000
DK0010181759,2022-12-31T00:00:00Z,63845989740,18.31371,8163000000,20.52956,25163500000,31721333330,4187000000,3.324452682,21673000000
DK0010181759,,68738338790,22.14445,,,,33906400000,,,
DK0010181759,,63892768000,22.28808,,,,32494400000,,,
DK0010181759,,72248118290,26.96757,,,,37034600000,,,
DK0010181759,,74161895820,27.92764,,,,40601250000,,,
DK0010181759,,77625944190,29.83446,,,,41489000000,,,
DK0010207497,2001-04-30T00:00:00Z,21777912860,7.24143,1175000000,10.1984,,,1796000000,3.849676528,4680000000
DK0010207497,2002-04-30T00:00:00Z,17718934290,7.05471,791000000,10.52537,9508500000,,1447000000,3.258157952,3667000000
DK0010207497,2003-04-30T00:00:00Z,17000446430,6.97,409000000,8.41748,8319000000,,1405000000,3.491005505,3439000000
DK0010207497,2004-04-30T00:00:00Z,17411323080,6.907,304000000,5.99439,8088500000,,1372000000,3.938511389,3395000000
DK0010207497,2005-04-30T00:00:00Z,19960441400,6.89222,729000000,7.47515,8722000000,,1045000000,3.01502349,3763000000
DK0010207497,2006-04-30T00:00:00Z,20527369730,7.10455,411000000,1.07247,9063500000,,2026000000,4.14668634,5171000000
DK0010207497,2007-04-30T00:00:00Z,19682337290,7.45221,372000000,1.76836,8688000000,,1748000000,4.122739485,4720000000
DK0010207497,2008-04-30T00:00:00Z,19464975710,8.231,342000000,-29.56368,8357500000,,1073000000,2.801375405,3686000000
DK0010207497,2009-04-30T00:00:00Z,14171429550,7.07455,716000000,4.70909,6689000000,,1330000000,3.644785762,3966000000
DK0010207497,2010-04-30T00:00:00Z,14560902910,8.108,698000000,2.81354,5369500000,,1519000000,3.50835208,4296000000
DK0010207497,2011-12-01T00:00:00Z,16578998570,11.08057,,,5353500000,,,,
DK0010207497,2012-12-01T00:00:00Z,,,,,5353500000,,,,
DK0010207497,2013-12-01T00:00:00Z,,,1306000000,6.87905,5353500000,,,,
DK0010207497,2014-12-01T00:00:00Z,,,2256000000,6.18812,5353500000,,,,
DK0010207497,2015-12-01T00:00:00Z,,,3444000000,5.4964,5353500000,,175000000,,
DK0010207497,2018-12-31T00:00:00Z,,,2989000000,5.41833,5353500000,,125000000,,
DK0010207497,2019-12-31T00:00:00Z,,,554000000,5.41833,5353500000,,119000000,,
DK0010207497,2020-12-31T00:00:00Z,,,404000000,7.75924,5353500000,,142000000,,
DK0010207497,,,,,7.75924,5353500000,,,,
DK0010207497,,,,,7.25782,5353500000,,,,
DK0010207497,,,,,7.25782,5353500000,,,,
DK0010207497,,,,,7.85124,5353500000,,,,
DK0010207497,,,,,5.41365,5353500000,,,,
DK0010238534,2000-12-31T00:00:00Z,4250160000,1.973,209200000,34.15503,,,636700000,10.24706989,966200000
DK0010238534,2001-12-31T00:00:00Z,4053640000,2.34143,1567900000,38.38444,,,691700000,12.98227278,
DK0010238534,2002-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2003-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2004-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2005-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2006-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2007-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2008-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2009-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2010-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2011-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2012-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2013-12-31T00:00:00Z,,,,,2289650000,,,,
DK0010238534,2014-12-01T00:00:00Z,,,29900000,0.98901,2289650000,,2400000,,
DK0010238534,2017-12-31T00:00:00Z,,,4200000,1.26658,2289650000,,6700000,,
DK0010238534,2018-12-31T00:00:00Z,,,,1.26658,2289650000,,,,
DK0010238534,2019-12-31T00:00:00Z,,,,1.26582,2289650000,,,,
DK0010238534,2020-12-31T00:00:00Z,,,9877000,1.26582,2289650000,,2043000,,
DK0010238534,,,,,1.43419,2289650000,,,,
DK0010238534,,,,,1.43419,2289650000,,,,
DK0010238534,,,,,,2289650000,,,,
DK0010238534,,,,,,2289650000,,,,
DK0010238534,,,,,0.29179,2289650000,,,,
DK0010267046,2000-12-31T00:00:00Z,30625584710,0,324000000,7.93521,1518000000,,468000000,2.670123137,
DK0010267046,2001-12-31T00:00:00Z,38011616500,0,1023000000,7.46242,1591000000,,573000000,2.283808706,
DK0010267046,2002-12-31T00:00:00Z,39076889330,0,891000000,6.733,1489000000,,653000000,2.34212933,
DK0010267046,2003-12-31T00:00:00Z,36927521360,3.06613,2281000000,6.2818,1631000000,,676000000,1.759940607,
DK0010267046,2004-12-31T00:00:00Z,44432911330,4.70078,3707000000,5.85661,1629500000,,699000000,2.159259259,
DK0010267046,2005-12-01T00:00:00Z,,,,,1629500000,,,,
DK0010267046,2006-12-01T00:00:00Z,,,,,1629500000,,,,
DK0010267046,2007-12-01T00:00:00Z,,,,,1629500000,,,,
DK0010267046,2008-12-01T00:00:00Z,,,,,1629500000,,,,
DK0010267046,2009-12-01T00:00:00Z,,,,,1629500000,,,,
DK0010267046,2010-12-01T00:00:00Z,,,,,1629500000,,,,
DK0010267046,2011-12-01T00:00:00Z,,,,,1629500000,,,,
DK0010267046,2012-12-01T00:00:00Z,,,,,1629500000,,,,
DK0010267046,2013-12-01T00:00:00Z,,,,,1629500000,,,,
DK0010267046,2014-12-01T00:00:00Z,,,18000000,0.34545,1629500000,,29000000,,
DK0010267046,2015-12-01T00:00:00Z,,,13000000,0.28822,1629500000,,35000000,,
DK0010267046,2016-12-01T00:00:00Z,,,27000000,0.22546,1629500000,,41000000,,
DK0010267046,2018-12-31T00:00:00Z,,,8000000,0.23585,1629500000,,30000000,,
DK0010267046,2019-12-31T00:00:00Z,,,2000000,0.23585,1629500000,,55000000,,
DK0010267046,2020-12-31T00:00:00Z,,,1000000,0.14385,1629500000,,151000000,,
DK0010267046,2021-12-31T00:00:00Z,,,1000000,0.14385,1629500000,,195000000,,
DK0010267046,,,,,0.53191,1629500000,,,,
DK0010267046,,,,,0.53044,1629500000,,,,
DK0010267046,,,,,0.61011,,,,,
DK0010287663,2000-12-31T00:00:00Z,887683830,0.09473,527536577.8,21.58379,,,126506425,3.609341351,
DK0010287663,2001-12-31T00:00:00Z,874709730,0.41807,139063978.1,31.89469,,,43491477.45,3.427961088,251015626
