Instrument,Total Assets,Date
DK0010288638,12761629962.8011,
DK0010288638,16179575977.7008,
DK0010288638,7865859219.67058,
DK0010288638,7335842345.13204,
DK0010288638,8934060485.8701,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,,
DK0010288638,1722885898.38627,
DK0010288638,1376994793.1866,
DK0010288638,1434344040.82858,
DK0010288638,1553148184.62347,
DK0010288638,1807293020.41128,
DK0060477503,3714459018.87937,2000-12-31T00:00:00Z
DK0060477503,3132893948.47214,2001-12-31T00:00:00Z
DK0060477503,3822859648.37838,2002-12-31T00:00:00Z
DK0060477503,4989441675.81721,2003-12-31T00:00:00Z
DK0060477503,6303923535.7423,2004-12-31T00:00:00Z
DK0060477503,6526289044.51114,2005-12-31T00:00:00Z
DK0060477503,7727176145.61938,2006-12-31T00:00:00Z
DK0060477503,8740211433.0462,2007-12-31T00:00:00Z
DK0060477503,9774951627.7497,2008-12-31T00:00:00Z
DK0060477503,10882675544.0953,2009-12-31T00:00:00Z
DK0060477503,10330329252.0915,2010-12-31T00:00:00Z
DK0060477503,10623889952.9862,2011-12-31T00:00:00Z
DK0060477503,10517235277.4632,2012-12-31T00:00:00Z
DK0060477503,11258707751.2808,2013-12-31T00:00:00Z
DK0060477503,10478658586.1212,2014-12-31T00:00:00Z
DK0060477503,9845164294.65351,2015-12-31T00:00:00Z
DK0060477503,10401766754.4381,2016-12-31T00:00:00Z
DK0060477503,13049112683.548,2017-12-31T00:00:00Z
DK0060477503,12782650099.0677,2018-12-31T00:00:00Z
DK0060477503,14776643650.5554,2019-12-31T00:00:00Z
DK0060477503,17938415074.5191,2020-12-31T00:00:00Z
DK0060477503,18403485972.0205,2021-12-31T00:00:00Z
DK0060477503,3314379489.5418,2022-12-31T00:00:00Z
DK0010126309,,
DK0010237056,,
DK0060228559,9490863598.45326,2000-12-31T00:00:00Z
DK0060228559,11052846015.5782,2001-12-31T00:00:00Z
DK0060228559,12814104468.1122,2002-12-31T00:00:00Z
DK0060228559,15122054227.553,2003-12-31T00:00:00Z
DK0060228559,16464622512.4492,2004-12-31T00:00:00Z
DK0060228559,14851444269.7664,2005-12-31T00:00:00Z
DK0060228559,14301473192.1524,2006-12-31T00:00:00Z
DK0060228559,15570869224.7455,2007-12-31T00:00:00Z
DK0060228559,18786279187.7219,2008-12-31T00:00:00Z
DK0060228559,16630361575.6153,2009-12-31T00:00:00Z
DK0060228559,11630821155.4343,2010-12-31T00:00:00Z
DK0060228559,11346857043.3571,2011-12-31T00:00:00Z
DK0060228559,11239382785.957,2012-12-31T00:00:00Z
DK0060228559,11133021267.1851,2013-12-31T00:00:00Z
DK0060228559,12081986124.4252,2014-12-31T00:00:00Z
DK0060228559,9400157164.06182,2015-12-31T00:00:00Z
DK0060228559,9107279368.04553,2016-12-31T00:00:00Z
DK0060228559,10177140922.9381,2017-12-31T00:00:00Z
DK0060228559,7818821324.89594,2018-12-31T00:00:00Z
DK0060228559,8540078054.63825,2019-12-31T00:00:00Z
DK0060228559,9165517694.17635,2020-12-31T00:00:00Z
DK0060228559,9004969039.06429,2021-12-31T00:00:00Z
DK0010181759,10524414935.3374,2004-12-31T00:00:00Z
DK0010181759,9902497895.92365,2005-12-31T00:00:00Z
DK0010181759,10349706069.835,2006-12-31T00:00:00Z
DK0010181759,11985121378.2302,2007-12-31T00:00:00Z
DK0010181759,26795221009.5242,2008-12-31T00:00:00Z
DK0010181759,25884696057.1132,2009-12-31T00:00:00Z
DK0010181759,25893504721.554,2010-12-31T00:00:00Z
DK0010181759,25720703465.0879,2011-12-31T00:00:00Z
DK0010181759,27243948187.9955,2012-12-31T00:00:00Z
DK0010181759,28068998562.5299,2013-12-31T00:00:00Z
DK0010181759,22333826181.6173,2014-12-31T00:00:00Z
DK0010181759,18175878226.9565,2015-12-31T00:00:00Z
DK0010181759,17965684192.6442,2016-12-31T00:00:00Z
DK0010181759,18415402717.5577,2017-12-31T00:00:00Z
DK0010181759,18077933248.345,2018-12-31T00:00:00Z
DK0010181759,18472380666.4665,2019-12-31T00:00:00Z
DK0010181759,19502330772.7661,2020-12-31T00:00:00Z
DK0010181759,19323140432.6886,2021-12-31T00:00:00Z
DK0010181759,16603711114.63,2022-12-31T00:00:00Z
DK0010207497,3800304442.96451,2001-04-30T00:00:00Z
DK0010207497,3364672813.4049,2002-04-30T00:00:00Z
DK0010207497,3995182899.29249,2003-04-30T00:00:00Z
DK0010207497,4074610764.9455,2004-04-30T00:00:00Z
DK0010207497,5675381075.14231,2005-04-30T00:00:00Z
DK0010207497,5466931015.20004,2006-04-30T00:00:00Z
DK0010207497,5752382697.94721,2007-04-30T00:00:00Z
DK0010207497,5849976971.06729,2008-04-30T00:00:00Z
DK0010207497,3779127593.06621,2009-04-30T00:00:00Z
DK0010207497,3665743140.5845,2010-04-30T00:00:00Z
DK0010207497,,2011-12-01T00:00:00Z
DK0010207497,,2012-12-01T00:00:00Z
DK0010207497,2081959147.97471,2013-12-01T00:00:00Z
DK0010207497,1963597358.62971,2014-12-01T00:00:00Z
DK0010207497,1901123339.22564,2015-12-01T00:00:00Z
